subsystem,year,MAPE,MAE_MW,RMSE_MW,MASE,R2,n_test
SE,2023,2.78,1175.0,1784.0,0.46,0.912,8760
SE,2024,2.92,1300.0,1972.0,0.49,0.893,8784
SE,2025,2.83,1255.0,1864.0,0.5,0.912,8760
S,2023,4.54,554.0,839.0,0.45,0.88,8760
S,2024,4.49,607.0,889.0,0.48,0.881,8784
S,2025,4.42,604.0,867.0,0.48,0.9,8760
NE,2023,2.01,236.0,389.0,0.42,0.911,8760
NE,2024,2.1,271.0,442.0,0.43,0.864,8784
NE,2025,2.1,274.0,407.0,0.44,0.898,8760
N,2023,1.96,132.0,220.0,0.5,0.898,8760
N,2024,1.83,142.0,208.0,0.5,0.896,8784
N,2025,1.87,155.0,218.0,0.51,0.901,8760
